id,name:ja,name:en,icon,color,nickname,self-introduction:ja,self-introduction:en,a-little-word:ja,a-little-word:en,routing-pattern,routing-comment
1,Yoko,Yoko,img/npc/npc01.png,#6EA3E1,梯子酒のOL,お酒大好き,I love alcohol,はしご酒中,bar hopping,restaurant cafe|doctors dentist|atm bank,restaurant 飲んだ後はラーメンよね セットで1500円なんてハッピー|cafe BIGチョコレートパフェ！いぇい！|doctors 数値が心配… 健康診断怖い…|dentist 歯医者はいつ行かなくてよくなるんだろ|atm 飲み代こそっとおろそうっと|bank 飲み代こそっとおろそうっと
2,aiue.22,aiue.22,img/npc/npc01.png,#78BF5C,片思い女子高生,片思い中女子高生,Unrequited love junior high school girl,片思い中です,I'm in unrequited love,cafe food_court ice_cream school,cafe カフェのワッフルみたいなやつ美味しかった！ 落ち着いた空間で何度行っても落ち着ける好きな雰囲気 いちごミルクを飲んだんだけど、とても美味しかった 放課後勉強するときに利用しています|food_court 今日はフードコートで勉強したよ ケンタッキー食べた～|ice_cream トリプルアイスにしたった|school 学校に忘れ物した～
3,IamFujita,IamFujita,img/npc/npc01.png,#EFD160,さぼり癖のある営業職,営業職,Sales position,営業まわりでさぼり中です,I'm slacking off at work.,cafe|cinema,cafe 外回りはサボり放題！ あと2杯分時間があるな 仕事の合間にコーヒー、おすすめです 今月までの限定コーヒー飲みたい|cinema ふらっと寄ってみる映画もいいな 1本見ていくと次の打ち合わせに丁度いいや
4,miko_tanaka,miko_tanaka,img/npc/npc01.png,#E96117,忙しいお母さん,二児の母,mother of two,親の介護で辛いです,It's hard to take care of my parents,nursing_home|doctors social_facility,nursing_home 介護施設に預けるか悩む デイサービスになかなか行ってくれない 施設の料金が高くて…|doctors 毎日の医者に連れていくのも大変 ここの病院たくさん待つのよね|social_facility 施設の方々は優しい方で助かるわ 温かみのある場所でよかった
5,lilian,lilian,img/npc/npc01.png,#FD868C,結婚指輪を探してるOL,新婚,newlywed,結婚指輪行脚中,Wedding ring pilgrimage,cafe,cafe 指長効果でスッキリと長く魅せてくれる指輪がいいな ティファニーの店員さんにもヒアリングした！海外ではセットリングという概念がないらしい 結婚指輪欲しいーーー！
6,yasutaka_work,yasutaka_work,img/npc/npc01.png,#EA6DB1,不倫中の音楽プロデューサー,音楽プロデューサー,Music producer,不倫旅行中,During an affair trip,nightclub bar,nightclub 今日はここに行こう|bar おすすめのお酒を出すよ 久々に会えたね
7,taro.official,taro.official,img/npc/npc01.png,#6EA3E1,競馬好きなブロガー,Webブロガー,Web blogger,競馬の予想当たるといいな,I hope my horse racing predictions are correct.,restaurant bar,restaurant 次のレースは穴党にはもってこい 今年の2歳馬は強いな 1点買いで勝負！|bar 今年の負け分ここで取り返す 明日は絶対にこいつが来る 明日は重馬場だな…
8,yamazaki,yamazaki,img/npc/npc01.png,#78BF5C,定年する公務員,役所勤務,Government office work,来月で定年です,I'm retiring next month,clinic dentist doctors|bar ,clinic ここの先生にも世話になったな|dentist 歯は老後のためにも大事にしないと|doctors 医者通いも少しずつ増えたもんだ|bar キープしてたボトルなくなったか
9,pmyupmyu0329,pmyupmyu0329,img/npc/npc01.png,#EFD160,アイドルオタク,アイドルオタク,idol otaku,握手会また行きたいな,I want to go to the handshake event again,conference_centre,conference_centre 推しのためにまた行かなきゃ チケットやっとこさ手に入ったな バイトで貯めたお金をすべて…ぶち込んだった！！
10,Takashi,Takashi,img/npc/npc01.png,#E96117,読書家の小学生,読書家小学生,reading elementary school student,通学中に本読みます,I read books while commuting to school,school|library,school 今日は6時限で長かったな～ 体育の授業嫌だったな～|library この本やっと借りられた～ 今月はたくさん本読んだな～ クラスで一番本読んでるんだ～
11,TAKKUN,TAKKUN,img/npc/npc01.png,#FD868C,研究好きの小学生,小学低学年,Lower grades of elementary school,夢を見た時の対処法研究中,Researching ways to deal with dreams,school|library,school 生物の授業おもしろかった～ 今日は給食当番だった～|library 「太古の生き物図鑑」貸出中だった… 「恐竜の絶滅について」を借りてきた～
12,juju_,juju_,img/npc/npc01.png,#EA6DB1,銀行勤務のOL,銀行勤務,Bank job,彼氏が取り合ってくれない,My boyfriend won't deal with me,restaurant cafe|atm bank,restaurant 今週もデートに行けなかった。もう知らない！|cafe ここのBIGチョコレートパフェだけが私の支え…|atm 彼はあてにならないから私一人でも生きていけるようにしとかないと|bank 預金残高が少なくなってきたなぁ…
13,yuan_303,yuan_303,img/npc/npc01.png,#6EA3E1,プロモーション好きのOL,プロモーション関連の仕事,Promotion related work,新しい靴新調しなきゃ,I need to get new shoes,cafe bar|cinema ,cafe 新作コーヒーの広告、あれは自然に見てるのではなく、見て「しまってる」やつだ |bar ここのバーのヴィンテージ家具。セレクトする人の眼力素晴らしい。|cinema  見た映画、映像が綺麗でテンポも良く素晴らしかった。
14,sae.2020.sae,sae.2020.sae,img/npc/npc01.png,#78BF5C,一人が嬉しい専業主婦,専業主婦,housewife,夫がいない時が唯一の癒し,The only comfort is when my husband is away,cafe|bank,cafe 友達と一緒に美味しい美味しいランチ会♪最近、ほっぺがぷくぷく膨れてきたのはこれのせいかな？ 幻のショートケーキ素敵♪ 今日のケーキ一度食べたら他でもう食べられないくらいだった|bank 今月の食費代結構かかってるな…
15,y_ichiha,y_ichiha,img/npc/npc01.png,#EFD160,女子会好きの人事総務,人事総務,Human resources and general affairs,女子会ランチ行ってきます,I'm going to a girls' party for lunch.,restaurant cafe,restaurant 久々のランチ会♪雰囲気もすごく良くてお肉も美味しかったです！ 予約しなくて大丈夫かな？と思ってたら満席だった～ 美味しいご料理ご馳走様でした！|cafe みかんラテ目当てで行ったのにリサーチ不足できょうは飲めず… ふんわりミルクの中にりんごの果実が入っててめっちゃ美味しいラテだった～♪
16,RokkinTV,RokkinTV,img/npc/npc01.png,#E96117,ネタに飢えてるYouTuber,YouTuber,YouTuber,新しいネタは無いかな,Is there any new material?,cafe cinema events_venue,cafe 次のネタ考えるのにここはよく使わせてもらってる。静かだしいいね。|cinema 今日見た映画のレビュー動画作るか～ もともと見たかった映画に加えもう1本見ちゃったよ|events_venue 毎月開催のイベントを取材。今日はたくさん人いたな～
